category,location_type,context,outcome_status,persistent_id,id,location_subtype,month,location.latitude,location.street.id,location.street.name,location.longitude,outcome_status.category,outcome_status.date
other-theft,Force,,,c6efd05a8a25b9d7179f91b16a39bcb903b6c26697363a003aaec401aaff3ee3,115395868,,2023-12,52.626782,1738090,On or near Hospital,-1.135961,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,4920deaef22b791a179337318df90d5da4b55110b6bd72929212f40ea5a2420f,115385223,,2023-12,52.642024,1737685,On or near North Bridge Place,-1.143892,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,c245732bc955809f3b6ee0bc3b3cd38f4c7eae2bab27dabafe129c3e90443311,115402095,,2023-12,52.639223,1738429,On or near Police Station,-1.132080,Investigation complete; no suspect identified,2024-01
other-theft,Force,,,ef9fe6ddeac9875f72284678674ba10837ad54f04c39f58d9ff111dace2fa6d9,115385305,,2023-12,52.630796,1738392,On or near Marlborough Street,-1.132868,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,8db3b5346c8c23a4b8a098a2ca46ef7817d7ccb02ac2cd1f228634e7ea924f57,115385318,,2023-12,52.636041,1738351,On or near East Gates,-1.133444,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,b55bdd0bd1b00928e61661efd7c6c741cbfe752b1999c69b303af335bf39b639,115385338,,2023-12,52.633318,1738276,On or near Nightclub,-1.134798,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,76eefd95b2b93b0a4e27ee2996175563c1255f5b1d4a972b8073ad398ee76f2a,115385393,,2023-12,52.636041,1738351,On or near East Gates,-1.133444,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,f25d9b1689e8868b67a6e40a967a0e410901c37414031af7b53a4104939008a9,115385423,,2023-12,52.634995,1737585,On or near Richard Iii Road,-1.144030,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,9c0364c2075a2674a63eba814158eb2e81ddeed6672c0f8cd23790746b433a44,115391600,,2023-12,52.619400,1738734,On or near Further/higher Educational Building,-1.123094,Investigation complete; no suspect identified,2024-04
other-theft,Force,,,d54557041fbbb85bba95c925a87bb0a349882b375219e39f206ac935fc734e83,115385722,,2023-12,52.618158,1738119,On or near Putney Road West,-1.135525,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,5172ca78e8326f8b7ec2020c343076fd31e30b812738b8e841ae67c71ff43bdf,115385873,,2023-12,52.633053,1738548,On or near Granby Street,-1.129306,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,e81ec69e404e8b8823329f587050acb9bab6336bc2421eb48d1c7b5efb4ccc50,115387147,,2023-12,52.639709,1739017,On or near Arnold Street,-1.120041,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,c10a93b80562a49b7bceb38bb595d757610075c86a4719674d3ddda0b86f1d1a,115384589,,2023-12,52.632052,1737636,On or near Supermarket,-1.146096,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,c6310c77be9ccc2d5181f454f5c824e5e4049be4efdb038236c428d13ee79ede,115384715,,2023-12,52.634169,1738654,On or near Colton Street,-1.128191,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,25dc843a65ecbee40f478ee8ce4244251428122f23af025f5684b240ee9a86d3,115391577,,2023-12,52.618158,1738119,On or near Putney Road West,-1.135525,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,e85da7f1e61142c8538590afd81652f4e4b25f0c647fefa88115f0fddd7bb646,115391713,,2023-12,52.640513,1738601,On or near Gower Street,-1.128966,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,6fda8d25c696e4780fbb2fe9ec799d6bc346433c6a961cdeabdae28c05675e5f,115391725,,2023-12,52.638734,1738937,On or near Crafton Street East,-1.123105,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,a209ae6052b5ad436013d91cb91e86358db7cf54035c22104012cb640d420adb,115391860,,2023-12,52.616027,1738697,On or near Westbury Road,-1.126956,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,3d25caf6a2a41a6e9d1b8d2777a31b347885920e883cd1d43b302459ee2fb823,115392012,,2023-12,52.616069,1738629,On or near Knighton Junction Lane,-1.127738,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,82081a8fc0f4210b2a5b451df03169c2d62b5f007eb4682c3649e4b89c866996,115385931,,2023-12,52.632795,1738185,On or near Millstone Lane,-1.135798,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,74fa87ba79cff92b62e0cf0ba7e48e872d9086c5b0fde84969d7976fe132205b,115386012,,2023-12,52.633749,1738061,On or near Parking Area,-1.137198,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,ca041ade02b56fd35639688875bf7c0ca60dc87c11748fd12c205c4d16bf3163,115401705,,2023-12,52.629043,1737492,On or near Roman Street,-1.148962,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,6b5dc51473b4d4cd342449e099f5436eef6231ea3a35b77a3cecb56f09adfde0,115401225,,2023-12,52.634378,1738436,On or near Nightclub,-1.132206,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,5bae971173f1b6bdb6017c33fdee232257e3ba8a81c730ccebcd46c4c4b7f2ea,115386232,,2023-12,52.624946,1737734,On or near Coniston Avenue,-1.141891,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,a4f31a5f0e5dc003b0f0d7b825cd1bea7a74e045c5648d36d0649e3f81dc2836,115386340,,2023-12,52.631121,1739564,On or near Dronfield Street,-1.108837,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,eee142bce2669bce1aa43c62f2f69df4a8d5802b044d68f68af72fae9f9bc2a1,115392662,,2023-12,52.635399,1738303,On or near Shopping Area,-1.134107,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,6631ce218e99aa0bd5589bf0ba010f634664f467ffbd184c03a1bd2ebf5b7162,115386474,,2023-12,52.627818,1738220,On or near Infirmary Close,-1.135039,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,d0fed61e107cf162e5052176dc2bfc46e8549b60d911c77b1d7a2e9a57365ed4,115394500,,2023-12,52.625500,1738603,On or near Lancaster Road,-1.127802,Investigation complete; no suspect identified,2023-12
